id,text,query
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_241_47","Page 242 of 261 
ANNEXURE 22 
 
FORMAT FOR SUBMISSION OF VOTING RESULTS 
 
 
Date of the AGM/EGM   
Total number of shareholders on record date   
No. of shareholders present in the meeting either in person or 
through proxy:   
Promoters and Promoter Group:  
Public:  
 
No. of Shareholders attended the meeting through Video 
Conferencing   
Promoters and Promoter Group:  
Public: 
 
 
 
Agenda- wise disclosure (to be disclosed separately for each agenda item) 
 
Resolution required: (Ordinary/ Special)       
Whether promoter/ promoter group are interested in 
the agenda/resolution?","""voting results submission format"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_127_5","• Conclude on the appropriateness of the Board of Directors’ use of the going concern basis of 
accounting and, based on the audit evidence obtained, whether a material unc ertainty exists 
related to events or conditions that may cast significant doubt on the ability of the Group and its 
associates and jointly controlled entities to continue as a going concern. If we conclude that a 
material uncertainty exists, we are required to draw attention in our auditor’s report to the related 
disclosures in the consolidated Financial Results or, if such disclosures are inadequate, to modify 
our opinion. Our conclusions are based on the audit evidence obtained up to the date of our 
auditor’s report. However, future events or conditions may cause the Group and its associates 
and jointly controlled entities to cease to continue as a going concern.  
• Evaluate the overall presentation, structure and content of the consolidated Financial Result s,","""auditor's report going concern"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_172_4","Name of authority  Brief of the case Corrective action taken  
    
  
 
Leadership Indicators 
 
1. Details of public policy positions advocated by the entity: 
S. No. Public policy 
advocated 
 
Method resorted 
for such advocacy 
 
Whether 
information 
available in public 
domain? (Yes/No)  
Frequency of 
Review by 
Board 
(Annually/ 
Half yearly/ 
Quarterly / 
Others – 
please specify)  
Web Link, 
if 
available","""public policy positions advocated by entity"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_86_7,"Page 87 of 132 
 
 
b. ASBA: Bank Account Number & Bank Name and Branch 
11. A co nfirmation by the Applicant (on behalf of joint bidders) that he /she has read, understood and 
agrees to such confirmations. 
12. Signature of First/Sole Applicant (with date). 
13. Signature of Account holder(s) upto 3 (in case of joint accounts) for ASBA. 
14. Authorization for necessary action by SCSBs for making the application. 
15. Broker/ SCSB / RTA / DP Stamp (Acknowledging upload of Bid in Stock Exchange System). 
16. Acknowledgement Slip for Broker / SCSB / RTA / DP 
a. 8 digit Application Number 
b. Bidders Depository Account Details – Single 16-digit field (consisting of DP ID and Client ID) 
c. PAN of First/Sole applicant 
d. Amount Blocked less discount (if any) in figures 
e. Payment Details (ASBA Bank Account No., Bank & branch) 
f. Received from Name, Telephone/Mobile and Email of Bidder 
g. Stamp & Signature of Banker 
17. Acknowledgement Slip for Bidder","""Asba application process"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_13_42","/ year ended March 31, 2017, the formats were linked to the Companies Act, 2013 or as prescribed by the sectoral 
regulators. The format for publication of financial results in the newspaper was modified by the  July 5, 2016 
circular. The October 24, 2016 circular dealt with disclosures by listed insurance companies .","""Companies Act 2013 financial results publication"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_72_9","(l) Bodies 
Corporate 
                              NA         
  Name (Xyz)                               NA         
(m) Any Other 
(specify) 
                              NA         
  Name (Xyz)                               NA         
  Sub-Total 
(B)(4) 
                              NA         
  Total Public 
Shareholdi
ng (B) = 
(B)(1) + 
                              NA","""corporate bodies shareholding"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_35_11","Page 36 of 261 
 
No. Method Specific conditions, if any, applicable 
i. Promoter(s) / Promoter group can sell 
up to 2% of the total paid -up equity 
share capital of the listed entity, subject 
to five times’ average monthly trading 
volume of the shares of the listed entity, 
every financial year till the due date for 
MPS compliance as per the SCRR (or) 
 
ii. Promoter(s) / Promoter group can sell 
upto a maximum of 5% of the paid -up 
capital of the listed entity during a 
financial year subject to the condition 
that the public holding in the listed entity 
shall become 25% after completion of 
such sale. The sale can be a single 
tranche or in multiple tranches not 
exceeding a period of 12 months and 
the amount of shares to be sold shall not 
exceed the trading volume of the shares 
of the listed entity during the preceding 
12 months from the date of 
announcement.  
ii. The listed entity shall, at least one trading 
day prior to every such proposed sale,","""Promoter selling shares"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_121_29","our other ethical responsibilities in accordance with these requirements and the Code of Ethics. We 
believe that the audit evidence obtained by us and other auditors in terms of their reports referred to 
in “Other Matter” paragraph below, is sufficient a nd appropriate to provide a basis for our audit 
opinion.  
 
[Insert Emphasis of Matter Paragraph]99 
Our opinion is not modified in respect of this matter.  
Board of Directors’ Responsibility for the Consolidated Financial Results  
 
These Consolidated Financi al Results have been compiled from the audited consolidated interim 
financial statements/ financial information.  
The Bank’s Board of Directors are responsible for the preparation and presentation of these 
consolidated Financial Results that give a true an d fair view of the net profit/ loss 100 and other 
financial information of the Group including its associates and jointly controlled entities in accordance","""bank audit opinion"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_8_26","1, 2015. Table V was made effective from the quarter ended June 30, 2019. Table VI was made effective from 
the quarter ended September 30, 2022. Table II was mod ified vide circular dated August 13, 2021. Table III and 
IV were modified vide circular dated June 30, 2022 and the revised Table III and IV were effective from the quarter 
ended September 30, 2022.","""effectiveness dates of accounting tables"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_113_43","income recognition, asset classification, provisioning and other related matters.  
[Insert Emphasis of Matter Paragraph]69 
 
Our conclusion is not modified in respect of this matter.  
For XYZ & Co.  
Chartered Accountants  
 
 
Signature  
(Name of the member signing the review report)   
(Designation)70 
(Membership Number)  
UDIN  
Place of signature  
Date  
                                                           
69 If applicable, based on facts and circumstances of the engagement. 
70 Partner or proprietor, as the case may be.","""XYZ & Co. audit report"""
