id,text,query
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_14_35,"Page 15 of 132 
 
Chapter 5: Compensation to Retail Individual Investors (RIIs) in an IPO 7 
 
1. Applications Supported by Block Amount (ASBA) has resulted in almost complete 
elimination of complaints pertaining to refunds, there have been instances where the 
applicants in an  Initial Public Offering have failed to get allotment of specified 
securities and in the process may have suffered an opportunity loss due to the 
following factors: 
1.1. Failure on part of the Self Certified Syndicate Banks (SCSB) to make bids in the 
concerned Exchange system even after the amount has been blocked in the 
investors’ bank account with such SCSB. 
1.2. Failure on part of the SCSB to process the ASBA applications even when they 
have been submitted within time. 
1.3. Any other failures on part of an SCSB which h as resulted in the rejection of the 
application form. 
2. In order to have a uniform policy for calculation of minimum compensation payable to","""IPO allotment failure compensation"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_116_18,Page 117 of 132,"""page 117"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_113_43","income recognition, asset classification, provisioning and other related matters.  
[Insert Emphasis of Matter Paragraph]69 
 
Our conclusion is not modified in respect of this matter.  
For XYZ & Co.  
Chartered Accountants  
 
 
Signature  
(Name of the member signing the review report)   
(Designation)70 
(Membership Number)  
UDIN  
Place of signature  
Date  
                                                           
69 If applicable, based on facts and circumstances of the engagement. 
70 Partner or proprietor, as the case may be.","""chartered accountants report"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_23_27","2026 – 27 Top 1000 listed entities 
 
3. ESG Disclosures for value chain 
 
3.1 Disclosures for value chain shall be made by the listed company as per BRSR Core, as part 
of its Annual Report. For this purpose, value chain sh all encompass the top upstream and 
downstream partners of a listed entity, cumulatively comprising 75% of its purchases / sales 
(by value) respectively. 
 
3.2 Listed entities shall report the KPIs in the BRSR Core for their value chain to the extent it is 
attributable to their business with that value chain partner. Such reporting may be segregated 
for upstream and downstream partners or can be reported on an aggregate basis. 
 
3.3 The scope of reporting and any assumptions or estimates, if any, shall be clearly disclosed. 
 
3.4 Applicability 
 
                                                           
 
17SEBI/HO/CFD/CFD-SEC-2/P/CIR/2023/122 dated July12, 2023","""ESG disclosures value chain"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_57_28","requirements which is not specified by SEBI under section VI-A of chapter VI of this circular 
and approval for the same has not been obtained from SEBI in terms of the said chapter, the 
recognized stock exchanges shall refer such cases to SEBI. 
 
8. With respect to the fines as stated above: 
8.1. The amount of fine realized as per the above structure shall be credited to the ""Investor 
Protection Fund"" of the concerned recognized stock exchange. 
8.2. If any non -compliant listed entity fails to pay the fine despite receipt of the notice as 
stated above, the recognized stock exchange may initiate appropriate action. 
 
9. Upon intimation of compliance by the listed entity with the MPS requirements, the concerned 
recognized stock exchange shall, on being satisfied of such compliance: 
 
9.1. intimate the depositories to unfreeze the shares and other securities of the promoter and 
promoter group of the listed entity.","""SEBI circular requirements"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_232_22","Page 233 of 261 
Para 
/ 
sub-
para 
Events Timeline for 
disclosure 
B. Events which shall be disclosed upon application of the 
guidelines for materiality referred sub -regulation (4) of 
regulation (30) 
 
1. Commencement or any postponement in the date of 
commencement of commercial production or commercial 
operations of any unit/division 
Within 12 hours * 
2. Any of the following events pertaining to the listed entity: 
(i) arrangements for strategic, technical, manufactur ing, or 
marketing tie-up; or 
(ii) adoption of new line(s) of business; or 
(iii) c losure of operation of any unit, division, or subsidiary 
(entirety or piecemeal) 
Within 12 hours * 
3. Capacity addition or product launch. Within 12 hours * 
4. Awarding, bag ging/ receiving, amendment or termination of 
awarded/bagged orders/contracts not in the normal course of 
business. 
Within 24 hours 
5. Agreements (viz. loan agreement(s) or any other agreement(s)","""Disclosure guidelines for materiality events"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_122_35","misrepresentations, or the override of internal control.  
• Obtain an understanding of internal control relevant to the audit in order to design audit 
procedures that are appropriate in the ci rcumstances, but not for the purpose of expressing an 
opinion on the effectiveness of the Bank’s internal control.  
• Evaluate the appropriateness of accounting policies used and the reasonableness of accounting 
estimates and related disclosures made by the Board of Directors.  
• Conclude on the appropriateness of the Board of Directors’ use of the going concern basis of 
accounting and, based on the audit evidence obtained, whether a material uncertainty exists 
related to events or conditions that may cast significant doubt on the ability of the Group and its 
associates and jointly controlled entities to continue as a going concern. If we conclude that a 
material uncertainty exists, we are required to draw attention in our auditor’s report to the related","""internal control audit procedures going concern basis"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_16_41,"stapled and segregated offer) and issuer shall be required to comply with the  NCS 
Regulations 2021, and Circulars issued there under. 
1.2. ‘Warrants portion’ of the issue shall be in terms of Chapter VI on Qualified Institutions 
Placement under the ICDR Regulations 2018. 
1.3. Of the ‘total issue size’ of the issue, at least 40% size shall consist o f ‘Warrants 
portion’. It may be noted that ‘total issue size’ shall mean combined size of NCDs 
issue and the aggregate size of the warrants portion, including the conversion price 
of warrants. 
2. The segregated offer of NCDs and stapled offer, both are exempted from the 
requirements as prescribed under the Regulations 175(3), 179(2)(a), 180(1) and 180(2) 
of the ICDR Regulations. 
 
                                              
 
8 SEBI/HO/CFD/DIL/CIR/P/2021/614 Aug 13, 2021.","""SEBI NCD regulations 2021"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_59_6,"Page 60 of 132 
 
 
 
Table II: ISD for preferential issue of specified securities 
 
Sr. 
No. 
Particular Field Description Source for 
information 
Timeline for 
submission 
In Principle approval stage 
1 Name of the listed entity Name of the listed entity 
Issuer 
Data from 1 
to 18 shall be 
submitted by 
the issuer 
before grant 
of in principle 
approval by 
the 
Exchange(s) 
2 ISIN ISIN 
3 Corporate Identity Number (CIN) of the Listed 
Entity 
CIN 
4 Permanent Account Number (PAN) PAN 
5 BSE Scrip code   
6 NSE Symbol   
7 MSEI Symbol   
8 Board resolution approving the issue of 
specified securities 
Date 
9 Copy of notice sent to shareholders Notice Copy 
10 Object of the Issue As per Notice/offer document 
11 Category of Allottee Option -  Promoter/Non Promoter/ Promoter and 
Non-promoters 
12 Security Type (no. of securities) Option -  Equity/Options/Warrant/Convertible/NCD + 
warrants/Convertible other than warrants  – (No. of 
securities)","""In principle approval stage isd preferential issue securities"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_17_3","Page 18 of 261 
 
Section III-B:Disclosure and other obligations of listed entities in relation to Related 
Party Transactions12 
 
1. Regulation 23(9) of the LODR Regulations inter-alia requires listed entities to disclose Related 
Party Transactions (RPTs), on a half -yearly basis, in the format specified by the Board and 
within the timelines specified in the regulations.  
 
2. Accordingly, listed entities shall make RPT disclosures in the  format specified in Annexure 
13 to this circular.  
 
3. Further, it has been decided to specify the information to be placed before the audit committee 
and the shareholders for consideration of RPTs. The same is detailed in the following 
paragraphs.  
 
(A) Information to be reviewed by the Audit Committee for approval of RPTs 
 
4. The listed entity shall provide the following information, for review of the audit committee for 
approval of a proposed RPT: 
a. Type, material terms and particulars of the proposed transaction;","""related party transactions disclosure"""
